EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MonthlyIncome,Over18,PercentSalaryHike,StandardHours,TotalWorkingYears,YearsAtCompany,YearsAtCompany,EnvironmentSatisfaction,JobSatisfaction,PerformanceRating
1,51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,131160,Y,11,8,1,1,2,3,4,3
2,31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,1,Female,1,Research Scientist,41890,Y,23,8,6,5,6,3,2,4
3,32,No,Travel_Frequently,Research & Development,17,4,Other,1,Male,4,Sales Executive,193280,Y,15,8,5,5,6,2,2,3
4,38,No,Non-Travel,Research & Development,2,5,Life Sciences,1,Male,3,Human Resources,83210,Y,11,8,13,8,9,4,4,3
5,32,No,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,Sales Executive,23420,Y,12,8,9,6,7,4,1,3
6,46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,4,Research Director,40710,Y,13,8,28,7,8,3,2,3
7,28,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,Male,2,Sales Executive,58130,Y,20,8,5,0,1,1,3,4
8,29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Male,2,Sales Executive,31430,Y,22,8,10,0,1,1,2,4
9,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Laboratory Technician,20440,Y,21,8,10,9,10,2,4,4
10,25,No,Non-Travel,Research & Development,7,4,Medical,1,Female,4,Laboratory Technician,134640,Y,13,8,6,6,7,2,1,3
11,45,No,Travel_Rarely,Research & Development,17,2,Medical,1,Male,2,Laboratory Technician,79910,Y,13,8,21,20,21,3,4,3
12,36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Male,1,Laboratory Technician,33770,Y,12,8,16,15,16,NA,4,3
13,55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Female,1,Sales Executive,55380,Y,17,8,37,36,37,4,1,3
14,47,Yes,Non-Travel,Research & Development,1,1,Medical,1,Male,1,Research Scientist,57620,Y,11,8,10,10,11,1,2,3
15,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,1,Manufacturing Director,25920,Y,14,8,5,5,6,4,4,3
16,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,2,Healthcare Representative,53460,Y,11,8,7,5,6,3,4,3
17,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Male,1,Laboratory Technician,42130,Y,12,8,3,3,4,4,3,3
18,37,No,Non-Travel,Research & Development,1,3,Medical,1,Male,2,Sales Executive,41270,Y,13,8,15,5,6,1,4,3
19,35,No,Travel_Rarely,Sales,7,4,Life Sciences,1,Male,1,Sales Representative,24380,Y,16,8,10,7,8,2,2,3
20,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,1,Manager,68700,Y,11,8,8,8,9,1,1,3
21,26,No,Travel_Frequently,Research & Development,1,4,Other,1,Male,2,Laboratory Technician,104470,Y,18,8,6,6,7,3,2,3
22,50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,Male,1,Research Scientist,96670,Y,23,8,28,10,11,1,2,4
23,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,Female,2,Research Scientist,21480,Y,11,8,21,5,6,3,3,3
24,42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,1,Manufacturing Director,89260,Y,14,8,NA,20,21,2,3,3
25,29,No,Travel_Frequently,Research & Development,16,4,Medical,1,Male,1,Laboratory Technician,65130,Y,11,8,10,10,11,2,4,3
26,55,No,Travel_Rarely,Research & Development,1,4,Other,1,Female,1,Research Scientist,67990,Y,11,8,12,10,11,2,4,3
27,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Female,1,Manager,162910,Y,22,8,5,5,6,1,1,4
28,37,No,Travel_Rarely,Sales,5,1,Marketing,1,Male,1,Research Scientist,27050,Y,11,8,17,17,18,4,4,3
29,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,Male,2,Research Scientist,103330,Y,14,8,19,1,2,4,3,3
30,38,No,Travel_Rarely,Sales,2,3,Marketing,1,Female,1,Manager,44480,Y,12,8,10,2,3,4,4,3
31,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,Male,3,Research Scientist,68540,Y,11,8,5,3,4,1,2,3
32,28,No,Travel_Rarely,Research & Development,7,3,Other,1,Male,1,Human Resources,96370,Y,13,8,5,5,6,4,4,3
33,49,No,Travel_Frequently,Research & Development,1,1,Medical,1,Female,2,Research Scientist,35910,Y,13,8,22,3,4,3,1,3
34,36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,Male,3,Sales Executive,54050,Y,14,8,10,8,9,3,2,3
35,31,No,Travel_Frequently,Research & Development,9,4,Medical,1,Male,1,Sales Executive,46840,Y,16,8,2,2,3,4,2,3
36,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Male,2,Manager,157870,Y,12,8,8,8,9,4,4,3
37,37,No,Travel_Frequently,Sales,9,1,Marketing,1,Male,1,Laboratory Technician,15140,Y,14,8,4,4,5,2,4,3
38,42,No,Travel_Frequently,Sales,2,2,Marketing,1,Male,3,Research Director,29560,Y,13,8,23,20,21,3,2,3
39,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,1,Sales Executive,23350,Y,14,8,0,0,1,3,3,3
40,35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,Male,1,Laboratory Technician,51540,Y,19,8,12,11,12,3,2,3
